timestamp,relative_time_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,latitude,longitude,altitude,gnss_speed,gnss_bearing,reference_speed,reference_speed_kmh,reference_heading,session_id,vehicle_id
31321.0,0.0,-0.1024,-0.1738,9.4654,0.0394,-0.0128,0.0025,52.404877,-1.500284,166.93,0.8583333333333333,149.05,2.9211111111111108,10.515999999999998,109.096,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
31421.0,0.1,0.9414,0.0092,9.8911,0.013,0.0098,0.0799,52.404877,-1.500284,166.93,0.8583333333333333,149.05,3.1130555555555555,11.207,105.74,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
31521.0,0.2,-0.271,-0.2862,9.9067,0.0367,-0.0068,0.0036,52.404877,-1.500284,166.93,0.8583333333333333,149.05,3.423888888888889,12.326,103.482,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
31620.0,0.299,-0.3615,-0.369,10.0899,0.0549,0.0164,0.0044,52.404877,-1.500284,166.93,0.8583333333333333,149.05,3.776944444444444,13.597,98.92,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
31721.0,0.4,0.2582,-0.3386,9.58,0.0251,0.0001,0.0222,52.404877,-1.500284,166.93,0.8583333333333333,149.05,4.081944444444445,14.695,94.703,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
31821.0,0.5,0.0198,-0.1429,9.7369,-0.0093,-0.0176,-0.005,52.404877,-1.500284,166.93,0.8583333333333333,149.05,4.103888888888888,14.774,91.789,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
31920.0,0.599,-0.229,0.3322,10.5569,0.0238,-0.0166,0.0053,52.404877,-1.500284,166.93,0.8583333333333333,149.05,4.37,15.732,88.29899999999999,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
32021.0,0.7,0.0646,0.3206,9.9508,0.0278,-0.0072,0.0191,52.404877,-1.500284,166.93,0.8583333333333333,149.05,4.381111111111111,15.772,85.69,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
32120.0,0.799,-0.3026,-0.0967,10.3803,0.0009,-0.0094,0.0039,52.404877,-1.500284,166.93,0.8583333333333333,149.05,4.678055555555555,16.840999999999998,82.654,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
32222.0,0.901,-0.3783,0.3385,9.6944,-0.0127,-0.0036,0.0,52.404877,-1.500284,166.93,0.8583333333333333,149.05,4.95,17.82,80.458,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
32321.0,1.0,-0.5634,1.6198,9.4449,-0.0248,-0.0075,0.0,52.404877,-1.500284,166.93,0.8583333333333333,149.05,4.906111111111111,17.662,76.354,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
32420.0,1.099,-0.569,1.5243,10.0184,0.0028,-0.019,0.0103,52.404877,-1.500284,166.93,0.8583333333333333,149.05,5.228055555555556,18.821,73.70100000000001,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
32521.0,1.2,-0.5805,1.2232,9.927,0.0189,-0.0284,-0.0061,52.404877,-1.500284,166.93,0.8583333333333333,149.05,5.296944444444445,19.069000000000003,74.954,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
32621.0,1.3,-0.7564,1.033,10.1886,-0.0025,-0.0082,0.0083,52.404877,-1.500284,166.93,0.8583333333333333,149.05,5.708888888888889,20.552,71.079,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
32721.0,1.4,-0.5578,1.0224,9.887,-0.0224,-0.0084,0.0013,52.404877,-1.500284,166.93,0.8583333333333333,149.05,5.813888888888889,20.93,69.718,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
32821.0,1.5,-0.523,1.2499,9.8092,-0.0118,0.0059,0.0043,52.404877,-1.500284,166.93,0.8583333333333333,149.05,6.031111111111111,21.712,69.363,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
32920.0,1.599,-0.4928,1.1655,9.9117,0.0081,0.0029,-0.0125,52.404877,-1.500284,166.93,0.8583333333333333,149.05,6.176111111111111,22.234,68.625,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
33021.0,1.7,-0.3825,0.7642,9.8633,0.0175,-0.018,-0.0196,52.404877,-1.500284,166.93,0.8583333333333333,149.05,6.408888888888889,23.072,67.46300000000001,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
33120.0,1.799,-0.2976,0.7517,10.1347,0.0025,0.004,0.0002,52.404877,-1.500284,166.93,0.8583333333333333,149.05,6.51888888888889,23.468000000000004,68.02600000000001,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
33220.0,1.899,-0.2696,0.7362,9.9777,0.0042,0.0015,-0.0031,52.404877,-1.500284,166.93,0.8583333333333333,149.05,6.661944444444444,23.983,66.454,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
33320.0,1.999,-0.3335,1.0268,9.8276,0.0146,-0.001,0.0025,52.404877,-1.500284,166.93,0.8583333333333333,149.05,6.858888888888889,24.692,66.194,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
33421.0,2.1,-0.2226,0.9011,9.7727,0.0032,-0.0054,-0.0138,52.404877,-1.500284,166.93,0.8583333333333333,149.05,6.886944444444445,24.793000000000003,65.64,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
33520.0,2.199,-0.3706,0.9239,9.9415,0.0043,-0.0093,-0.0089,52.404877,-1.500284,166.93,0.8583333333333333,149.05,7.003888888888889,25.214,65.711,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
33620.0,2.299,-0.4226,0.7789,9.9626,0.0198,-0.0072,-0.0223,52.404877,-1.500284,166.93,0.8583333333333333,149.05,7.22,25.992,66.295,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
33721.0,2.4,-0.3567,0.6492,10.1702,0.0211,0.0048,-0.0133,52.404877,-1.500284,166.93,0.8583333333333333,149.05,7.226111111111111,26.014,66.012,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
33820.0,2.499,0.0859,0.6738,9.7136,0.0145,0.0078,0.0012,52.404877,-1.500284,166.93,0.8583333333333333,149.05,7.478055555555555,26.921,63.892,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
33921.0,2.6,-0.2411,0.7439,9.9822,-0.0064,0.0404,0.0112,52.404877,-1.500284,166.93,0.8583333333333333,149.05,7.489999999999999,26.964,64.95100000000001,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
34020.0,2.699,-0.3281,0.9295,9.9195,0.0047,0.0319,0.005,52.404877,-1.500284,166.93,0.8583333333333333,149.05,7.606111111111112,27.382,64.579,IOVNBD_S3a,Research_Vehicle_Ford_Fiesta
