phone_timestamp,server_received_timestamp,accelerometer_x,accelerometer_y,accelerometer_z,accel_nograv_x,accel_nograv_y,accel_nograv_z,gyroscope_alpha,gyroscope_beta,gyroscope_gamma,orientation_alpha,orientation_beta,orientation_gamma,magnetometer_x,magnetometer_y,magnetometer_z,latitude,longitude,altitude,speed,heading,accuracy
2026-09-16T18:26:37.392Z,2026-09-16T18:26:37.402Z,0.15,-0.32,9.81,0.02,-0.01,0.05,0.05,0.12,-1.25,180.5,12.3,-5.4,,,,11.016845,76.955812,410.2,1.2,90,4.5
2026-09-16T18:39:39.997Z,2026-09-16T18:39:40.007Z,-0.42,1.25,9.68,-0.05,0.12,0.08,0.18,-0.45,2.15,95.4,-3.2,14.8,,,,11.016845,76.955812,412,0.8,140.5,3.2
2026-09-17T01:43:51.399Z,2026-09-17T01:43:54.701Z,0.9,0.4,9.8,0,0,-0.1,0,0.2,-0.1,359.9,2.6,-5.5,,,,11.055314,76.927092,374.7,0.09,,4.48
2026-09-17T01:43:52.388Z,2026-09-17T01:43:55.874Z,0.9,0.4,9.8,0,0,-0.1,0,0.2,-0.1,359.9,2.6,-5.5,,,,11.055314,76.927092,374.7,0.09,,4.48
2026-09-17T01:43:53.392Z,2026-09-17T01:43:56.706Z,0.9,0.4,9.8,0,0,-0.1,0,0.2,-0.1,359.9,2.6,-5.5,,,,11.055314,76.927092,374.7,0.09,,4.48
2026-09-17T01:43:54.399Z,2026-09-17T01:43:57.929Z,0.9,0.4,9.8,0,0,-0.1,0,0.2,-0.1,359.9,2.6,-5.5,,,,11.055314,76.927092,374.7,0.09,,4.48
2026-09-17T01:43:55.398Z,2026-09-17T01:43:58.742Z,0.9,0.4,9.8,0,0,-0.1,0,0.2,-0.1,359.9,2.6,-5.5,,,,11.055314,76.927092,374.7,0.09,,4.48
2026-09-17T01:43:57.523Z,2026-09-17T01:44:00.892Z,0.9,0.4,9.8,0,0,-0.1,0,0.2,-0.1,359.9,2.6,-5.5,,,,11.055314,76.927092,374.7,0.09,,4.48
2026-09-17T01:43:58.526Z,2026-09-17T01:44:01.827Z,0.9,0.4,9.8,0,0,-0.1,0,0.2,-0.1,359.9,2.6,-5.5,,,,11.055314,76.927092,374.7,0.09,,4.48
2026-09-17T01:44:01.252Z,2026-09-17T01:44:04.681Z,0.9,0.4,9.8,0,0,-0.1,0,0.2,-0.1,359.9,2.6,-5.5,,,,11.055314,76.927092,374.7,0.09,,4.48
