timestamp_ms,relative_time_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,accel_mag,gyro_mag,accel_x_filt,accel_y_filt,accel_z_filt,latitude,longitude,altitude,gnss_speed_m_s,gnss_accuracy,gnss_bearing,gnss_speed_km_h,cell_id,signal_dbm,flag_imu_valid,flag_gnss_valid,flag_speed_ref_valid,flag_outage,flag_cell_valid
1789583197.0,0.0,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.15000019456086622,-0.3200005358957193,9.810000044373531,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583207.0,0.01,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.15000056882939028,-0.32000156677568914,9.81000012973302,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583217.0,0.02,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.15000059950911082,-0.3200016512794809,9.81000013673015,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583227.0,0.03,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.14999994181327986,-0.31999983973131496,9.809999986729347,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583237.0,0.04,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.14999876373848348,-0.3199965948586302,9.809999718045619,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583247.0,0.05,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.1499980053502148,-0.319994505964627,9.809999545079872,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583257.0,0.06,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.1499989486618587,-0.3199971042089794,9.809999760221125,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583267.0,0.07,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.15000199342538056,-0.3200054906628904,9.810000454640877,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583277.0,0.08,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.15000538851067663,-0.32001484203817954,9.810001228958576,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583287.0,0.09,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.15000539393902096,-0.32001485698993504,9.810001230196619,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583297.0,0.1,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.14999896317893507,-0.31999714419461067,9.809999763532037,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583307.0,0.11,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.14998800302197535,-0.3199669556921074,9.809997263847116,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583317.0,0.12,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.14998153906793332,-0.31994915146781633,9.809995789611984,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583327.0,0.13,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.14999132257546194,-0.319976099023641,9.809998020938263,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583337.0,0.14,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.15002024248343176,-0.32005575561225985,9.810004616706749,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583347.0,0.15,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.1500509273823012,-0.3201402736670407,9.810011615017018,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583357.0,0.16,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.1500483185079397,-0.32013308782011507,9.810011020010581,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583367.0,0.17,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.14998567133509288,-0.3199605333264842,9.809996732058876,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583377.0,0.18,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.14988394871992644,-0.31968034998295547,9.80997353216419,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583387.0,0.19,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.14982957548183007,-0.31953058509907595,9.80996113125024,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583397.0,0.2,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.14992994640565221,-0.319807045362937,9.809984022864448,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583407.0,0.21,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.15020399023624975,-0.32056186784370583,9.810046524088973,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583417.0,0.22,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.15048022412235096,-0.32132272258261607,9.810109524799836,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583427.0,0.23,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.15043075088450564,-0.32118645419065595,9.810098241429799,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583437.0,0.24,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.1498225196320298,-0.3195111505654154,9.80995952202134,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583447.0,0.25,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.1488806592131106,-0.31691690344663814,9.809744711750358,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583457.0,0.26,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.1484305228298789,-0.3156770541103685,9.809642049066465,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583467.0,0.27,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.14945037442749137,-0.31848611903712576,9.809874646799253,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583477.0,0.28,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.15204042499167908,-0.3256201179595375,9.810465360085821,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583487.0,0.29,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.1545163693182965,-0.3324398242626767,9.811030049142769,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583497.0,0.3,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.1538229426074471,-0.33052985946261776,9.810871899191172,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
1789583507.0,0.31,0.15,-0.32,9.81,0.05,0.12,-1.25,9.816363888935658,1.2567418191498203,0.1479607092175852,-0.3143830060905418,9.809534898593483,11.016845,76.955812,410.2,1.2,4.5,90.0,4.32,,,1,1,1,0,0
